module,nodes,performance,time,use_gpu,host,ncores,number_of_ranks,number_of_threads,hyperthreading,multidir
gromacs/2018.8,1,22.814,15,False,abci_intel-mpi,40,40,1,False,1
gromacs/2018.8,2,37.661,15,False,abci_intel-mpi,80,40,1,False,1
gromacs/2018.8,3,50.449,15,False,abci_intel-mpi,120,40,1,False,1
gromacs/2018.8,4,61.085,15,False,abci_intel-mpi,160,40,1,False,1
gromacs/2018.8,5,67.791,15,False,abci_intel-mpi,200,40,1,False,1
gromacs/2018.8,6,73.589,15,False,abci_intel-mpi,240,40,1,False,1
gromacs/2018.8,7,84.289,15,False,abci_intel-mpi,280,40,1,False,1
gromacs/2018.8,8,88.21,15,False,abci_intel-mpi,320,40,1,False,1
gromacs/2018.8,9,84.946,15,False,abci_intel-mpi,360,40,1,False,1
gromacs/2018.8,10,77.415,15,False,abci_intel-mpi,400,40,1,False,1
